Year,Cotton Spinner,Cotton Handweaver,Cotton Weaver,Cotton Printer,Cotton Total,Silk foilspinning,Silk material weaving,Silk tape weaving,Silk dying,Silk total,Linen,Wool weaving,Textiles total,Chemicals,Metal and machine,Construction,Railroad,,Zurich industry,Glarus industry,Basel industry,,Nominal salaries index,Price index,Real salaries index,Nominal salaries hourly currency,Real salaries hourly currency
1821,23.41,48.75,,,33.46273834,,,,,,,,37.64917181,26.55,,28.33,,,,,,,35.3909156,96.57957288,36.64430743,11.50204757,11.90939992
1822,24.28,50.56,,,34.67333177,,,,,,,,38.63087685,26.55,,29.55,,,,,,,36.40998712,92.68282078,39.28450474,11.83324581,12.76746404
1823,25.14,52.34,,,35.86205055,,58.75,,,49.1555375,,,39.58166126,26.55,,27.96,,,,,,,36.85403511,85.85659547,42.92510658,11.97756141,13.95065964
1824,26,54.14,,,37.06164912,,,,,,,,40.62432246,26.55,,28.02,,,,,,,37.70273299,86.42775062,43.62341114,12.25338822,14.17760862
1825,26.86,55.94,,,38.25951092,,,,,,,,41.64418404,26.55,,29.87,,,,,,,38.88544073,90.1494713,43.13440796,12.63776824,14.01868259
1826,27.25,56.73,,,38.76722078,,,,,,,,42.15485865,27.13,,30.38,,,,,,,39.40612168,81.3518395,48.43912802,12.80698955,15.74271661
1827,27.63,57.54,,,39.28586109,,,,,,,,42.6701533,27.13,,28.21,,,,,,,39.40344135,79.90552725,49.31253531,12.80611844,16.02657398
1828,28.02,58.35,,,39.80517518,,60.69,,,50.7787161,,,43.18030145,27.13,,30.14,,,,,,,40.20196532,86.64884294,46.39642488,13.06563873,15.07883809
1829,28.41,59.15,,,40.31777382,,,,,,,,43.59134983,27.7,,30.65,,,,,,,40.6363117,84.86168004,47.88534905,13.2068013,15.56273844
1830,28.79,59.95,,,40.82873809,,,,,,,,43.99570289,28.68,,32.76,,,,,,,41.35366047,83.39694344,49.58654211,13.43993965,16.11562618
1831,29.17,60.75,,,41.33925218,,,,,,,,44.39443345,28.84,,32.35,,,,,,,41.59762157,88.28861096,47.11550122,13.51922701,15.31253789
1832,29.83,62.12,,,42.23765461,,,,,,,,45.05883631,29.26,,30.07,,,,,,,41.6999124,96.23872222,43.32966133,13.55247153,14.08213993
1833,30.51,63.54,,,43.16849707,,60.69,,,50.7787161,,,45.73788055,29.26,,34.95,,,,,,,43.17554289,86.23429485,50.06771722,14.03205144,16.2720081
1834,31.18,64.92,,,44.0722475,,,,,,,,46.49822288,29.26,,33.21,,,,,,,43.46436369,86.69490384,50.13485425,14.1259182,16.29382763
1835,33.15,69.03,,,46.82548107,,,,,,,,48.52132076,29.26,,32.1,,,,,,,44.8795048,86.59449108,51.82720545,14.58583906,16.84384177
1836,33.6,69.96,,,47.4203184,,,,,,,,49.05183853,29.26,,30.03,,,,,,,44.92551084,94.65514849,47.46230032,14.60079102,15.4252476
1837,34.48,71.8,,,48.6301259,,,,,,,33.13,49.99832036,29.26,,32.2,,,,,,,46.09242877,84.38264669,54.62311337,14.98003935,17.75251185
1838,35.81,74.56,,,50.46221789,,62.65,,,52.4186285,,36.3,51.39360902,29.61,,31.94,,,,,,,47.1659122,88.7307956,53.15619214,15.32892146,17.27576245
1839,37.57,78.23,,,52.90654154,,,,,,,37.75,53.05573751,30.19,,34.38,,,,,,,48.96646218,94.1383452,52.01542695,15.91410021,16.90501376
1840,38.45,80.07,,,54.11084155,,,,,,,37.34,53.84656051,30.19,,34.47,,,,,,,49.63074348,89.86389373,55.22879259,16.12999163,17.94935759
1841,40.33,83.97,,,56.7586888,,,,,,,36.3,55.56022921,30.19,,34.06,,,,,,,50.94869748,83.52591395,60.9974738,16.55832668,19.82417898
1842,39.76,82.8,,,55.97771217,,,,,,,35.45,55.01944839,30.77,,34.47,,,,,,,50.61135496,87.31211989,57.96601322,16.44869036,18.8389543
1843,39.81,82.9,,,56.05626893,,62.65,,,52.4186285,,37.08,55.08649845,30.77,,33.31,,,,,,,50.47205232,88.18727698,57.23280505,16.403417,18.60066164
