"","clean.city.1860","County.1860","clean.city.1910","County.1910","lon","lat","State.1910","City.1910","Pop.1910","State.1860","City.1860","Pop.1860","alternate.city.1910","alternate.city.1860","inside_1910","inside_1860","match.ID","Deutsch.1910","Franzosisch.1910","Italienisch.1910","Romanisch.1910","Mannlich.1910","Weiblich.1910","Auslander.1910","Protestantisch.1910","Katholisch.1910","Deutsch.1860","Franzosisch.1860","Italienisch.1860","Romanisch.1860","Mannlich.1860","Weiblich.1860","Auslander.1860","Protestantische.1860","Katholisch.1860","PctGerman","rough","elev","Dist","Growth","PctCath"
"1",": Eysins","Nyon-Bezirk","Eysins","12. Nyon (Neuss)",6.2088848,46.381576,"Vaud","237. Eysins",264,"Vaud","16: Eysins",223,"FALSE","FALSE",TRUE,TRUE,FALSE,37,222,4,0,126,137,37,224,38,0,50,0,"0",118,105,24,200,23,0,46,423,-49.0727145197477,41,0.103139013452915
"2","'24. Le Vaud","Nyon-Bezirk","Le Vaud","12. Nyon (Neuss)",6.2388488,46.4781748,"Vaud","252. Le Vaud",200,"Vaud","'24. Le Vaud",174,"FALSE","FALSE",TRUE,TRUE,FALSE,7,192,1,0,108,92,5,192,8,1,48,0,"0",91,83,2,169,5,0.0204081632653061,205,810,-44.1846297219573,26,0.028735632183908
"3","0lleires","Wiflisburg (Avenches)-Bezirk","Oleyres","3. Avenches ( Wiflisburg )",7.0371866,46.8556727,"Vaud","43. Oleyres",266,"Vaud","11. 0lleires",317,"FALSE","FALSE",TRUE,TRUE,FALSE,68,194,1,0,139,124,3,251,10,1,72,0,"0",172,145,0,309,8,0.0136986301369863,137,563,-0.284591555838619,-51,0.0252365930599369
"4","111orrens","Eschallens-Bezirk","Morrens","5. Echallens ( Tscherli1z)",6.6256805,46.5910697,"Vaud","94. Morrens",306,"Vaud","17. 111orrens",330,"FALSE","FALSE",TRUE,TRUE,FALSE,16,289,0,0,154,151,2,289,15,0,64,0,"0",166,164,2,330,0,0,43,685,-13.147687492456,-24,0
"5","Abergement","Orbe-Bezirk","L'Abergentent","13. Orbe (Orbach)",6.536765,46.5613135,"Vaud","254. L'Abergentent",241,"Vaud","1. Abergement",281,"FALSE","FALSE",TRUE,TRUE,FALSE,9,220,13,0,131,111,15,225,17,0,65,0,"0",153,128,4,277,1,0,55,441,-20.0434043191888,-40,0.00359712230215827
"6","Aclens","Morges-Bezirk","Aclens","10. Morges (Morsee)",6.5099601,46.5677921,"Vaud","154. Aclens",311,"Vaud","1. Aclens",374,"FALSE","FALSE",TRUE,TRUE,FALSE,15,296,1,0,172,140,11,302,9,0,75,0,"0",187,187,2,371,3,0,48,451,-22.0211766259281,-63,0.00802139037433155
"7","Agiez","Orbe-Bezirk","Agiez","13. Orbe (Orbach)",6.5097535,46.720125,"Vaud","255. Agiez",371,"Vaud","2. Agiez",369,"FALSE","FALSE",TRUE,TRUE,FALSE,11,355,3,0,196,173,12,359,10,0,68,0,"0",195,174,2,367,2,0,80,520,-18.5218083879592,2,0.00542005420054201
"8","Albeuve","Greyerz-Bezirk","Albeuve","3. La Gruyere (Greierz)",7.056384,46.517776,"Freiburg","103. Albeuve",550,"Freiburg","1. Albeuve",512,"FALSE","FALSE",TRUE,TRUE,FALSE,6,549,2,0,277,280,6,0,557,0,112,0,"0",269,243,2,9,503,0,461,792,3.28271072418258,38,0.982421875
"9","Allamann","Rolle-Bezirk","Allaman","17. Rolle",6.3957297,46.4709528,"Vaud","326. Allaman",365,"Vaud","1. Allamann",294,"FALSE","FALSE",TRUE,TRUE,FALSE,12,346,1,0,193,170,25,330,31,0,66,0,"0",159,135,6,279,15,0,61,406,-32.5631298550983,71,0.0510204081632653
"10","Apples","Aubone-Bezirk","Apples","2. Aubonne",6.4289378,46.5521915,"Vaud","16. Apples",611,"Vaud","1. Apples",557,"FALSE","FALSE",TRUE,TRUE,FALSE,56,530,23,0,326,284,31,570,40,1,136,0,"0",288,269,5,550,7,0.0072992700729927,93,631,-28.3595964119666,54,0.0125673249551167
