IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
224,480,10,455,91950,7740,80500,16200,609,315,34,19,21,428,504,36,13,17,164,101,604,400,95,236,83,99630,260,100,20,100300,24000,14000,30000,56000,44000,0,1877500,1912100,1916200,1878900,1870300,956,600,19,L101,101,Zurich,Affoltern,,
292,625,20,449,92610,6680,85000,19300,667,260,18,23,30,656,264,26,18,32,163,257,279,514,66,333,500,99710,130,50,40,96600,22000,9000,29000,97000,3000,0,1874900,1901900,1914100,1884700,1905700,963,676,34,L201,102,Zurich,Andelfingen,,
303,655,14,451,96240,2780,83300,15100,573,341,27,32,26,487,434,34,22,22,202,230,484,486,52,223,278,99820,70,70,10,98200,17000,14000,24000,95000,5000,0,1876500,1906800,1919800,1889400,1905400,939,678,23,L301,103,Zurich,Bulaech,,
329,615,23,517,95590,3980,78000,8500,717,221,14,21,27,679,252,25,17,25,207,230,362,594,92,218,545,99530,190,260,0,97800,20000,13000,24000,95000,5000,0,1876100,1907100,1919900,1885800,1906200,1024,661,19,L401,104,Zurich,Dielsdorf,,
251,515,12,474,89810,9580,76700,12300,360,559,30,31,19,232,692,39,19,16,192,60,511,543,32,288,346,99390,140,440,20,97100,23000,12000,23000,23000,77000,0,1874900,1901400,1919300,1884900,1860000,896,498,32,L501,105,Zurich,Hinwil,,
233,524,14,430,88530,11180,80200,19900,337,528,57,47,25,215,670,59,29,22,200,59,527,413,31,296,306,98830,390,650,60,100200,28000,13000,43000,90000,10000,0,1876900,1907400,1918100,1882600,1872300,879,475,54,L601,106,Zurich,Horgen,,
216,486,10,433,94030,5480,81100,19800,525,357,48,40,28,359,531,54,27,26,168,78,575,444,63,316,385,99030,320,470,20,97100,30000,11000,32000,79000,21000,0,1877100,1911500,1915800,1883300,1860000,898,501,40,L701,107,Zurich,Meilen,,
248,533,7,459,97390,2520,80500,11100,516,397,28,36,21,352,570,35,23,18,213,108,577,526,53,286,188,99670,90,200,30,96800,25000,12000,22000,0,100000,0,1875700,1905400,1921400,1901400,1860000,907,614,21,L801,108,Zurich,Pfaeffikon,,
235,530,13,430,94540,5220,81700,15200,521,389,32,35,22,340,581,37,22,18,196,89,603,497,45,256,471,99300,160,530,10,95700,25000,9000,27000,87000,13000,0,1875000,1904500,1920700,1903500,1860000,875,550,28,L901,109,Zurich,Uster,,
280,570,18,475,89280,10170,81500,10400,289,562,62,51,32,268,577,81,37,29,177,242,314,466,31,235,560,98690,450,550,40,95400,27000,9000,38000,81000,19000,0,1876200,1907900,1917000,1882300,1882500,978,444,74,L1001,110,Zurich,Winterthur,,
255,545,46,419,76820,20720,82900,16900,128,509,174,109,72,105,545,187,78,67,194,155,355,358,31,259,716,96600,1260,1070,140,96400,41000,8000,56000,99000,1000,0,1875000,1904000,1919900,1885400,1874300,897,282,167,L1101,111,Zurich,Zurich,,
428,817,43,498,99400,360,72100,13700,625,294,30,20,30,614,287,45,18,34,183,202,197,476,112,311,529,99400,580,20,0,95000,14000,12000,10000,36000,64000,0,1880200,1913000,1917700,1903700,1914000,1049,601,3,L102,201,Berne,Aarberg,,
385,762,36,480,98880,840,70100,13800,495,395,49,29,26,453,426,62,23,29,174,187,308,408,66,330,435,99720,230,40,0,96300,11000,17000,7000,39000,61000,0,1878800,1914300,1917900,1906300,1913500,976,601,5,L202,202,Berne,Aarwangen,,
319,694,63,406,94310,4660,78200,22900,273,434,113,75,97,241,443,141,58,95,186,172,286,417,64,257,721,96450,2950,240,50,97200,22000,12000,16000,0,100000,0,1875900,1905300,1917500,1902600,1904400,890,447,39,L302,203,Berne,Berne,,
315,660,28,455,84750,13430,74600,11000,63,709,92,80,38,52,708,115,59,39,220,139,292,438,44,309,527,71940,26980,950,0,96400,24000,12000,17000,98000,2000,0,1878900,1912300,1923000,1891100,1894800,903,312,56,L402,204,Berne,Biel,,
427,775,56,515,98520,1380,71700,11000,525,382,34,27,30,508,382,51,23,34,180,205,232,494,103,316,500,98510,1350,140,0,95000,14000,11000,5000,100000,0,0,1876400,1909600,1919400,1905600,1912100,998,596,5,L502,205,Berne,Bueren,,
