IF,IG,IH,IM,PROT,CATH,ISRA,GER,FR,ITA,ROM,ED1,ED2,ED3,SINGL1,SINGL2,MORT,DECM10,DECM50,DECM.1,DECIG10,DECIG.6,WL.WL65,WLEXAGR.W65,ALT.1,ALT.2,ALT.3,MAGR,MIND,WAGR,WIND,PROPWAGR,PROPWIND,PROPWOTH,PROPWTO,TAGR,TIND,ENTERPR,COTTENTERPR,AGRENTERPR,IND.ENTERPR,COMM.ENTRPR,TRANS.ENTERPR,ADM.ENTERPR,HOTEL.ENTERPR,WCOTTAGE,SEX1900,CBR,CDR,CMR,NGR,TGR,SEX1910,BORNCOM,BORNFOR,COTTIND,SIZHOLD,SIZLOT,TOTHOLD,PRFIELD,PRMEADO,PRVINE,PRMAGR,PRMIND,PRWAGR,PRWIND,PRAGRIC,PRIND,WAGRIENT,WINDENT,WLFENT,TRANSP,ADMINI,COMBINE,LABEL,Key,Canton,District1,District2,
223,418,14,517,84600,15200,0,97100,400,2500,0,37000,4000,51000,77700,13100,112,1877500,1912100,1916200,1878900,1870300,559,452,56000,44000,0,522,372,192,685,169,505,390,356,405,483,214,157,497,364,107,17,14,38,100,955,22,17,-3,5,2,946,49080,4620,45,6335,501,79,90,659,11,60960,30470,38840,51570,50650,40310,35750,59640,46620,2020,2370,4390,L101,101,Zurich,Affoltern,,
288,561,19,497,87900,11900,200,96900,600,2400,0,40000,4000,61000,78800,24200,110,1874900,1901900,1914100,1884700,1905700,584,177,97000,3000,0,525,370,696,193,426,226,372,359,587,307,195,8,667,195,95,26,17,38,4,982,24,18,-2,6,3,1021,56390,7450,3,4935,192,39,333,399,69,69040,21940,80460,9790,74270,16380,49610,27390,45800,2650,3870,6520,L201,102,Zurich,Andelfingen,,
292,566,19,499,91200,8400,200,97000,100,2500,0,34000,6000,46000,77900,17600,129,1876500,1906800,1919800,1889400,1905400,616,337,95000,5000,0,432,455,453,441,377,359,353,366,440,450,195,53,608,261,99,20,13,38,32,974,25,16,-1,9,8,973,55130,5930,18,5128,262,51,247,505,46,53570,36340,57740,33550,55500,35050,48200,44360,46330,2960,2580,5540,L301,103,Zurich,Bulaech,,
313,555,24,543,90300,9400,100,97700,400,1700,100,27000,9000,46000,78900,9200,138,1876100,1907100,1919900,1885800,1906200,634,218,95000,5000,0,559,345,656,220,377,247,400,340,592,302,206,24,676,201,82,25,15,40,17,1082,25,17,0,8,8,1102,51810,4900,10,5959,260,44,221,506,44,70500,20730,82780,8260,75710,15440,46380,22690,42420,2920,3010,5920,L401,104,Zurich,Dielsdorf,,
218,434,14,485,83200,16600,100,97100,400,2400,100,35000,6000,52000,78700,13400,127,1874900,1901400,1919300,1884900,1860000,546,511,23000,77000,0,280,617,64,819,119,438,400,370,200,692,194,228,385,448,137,16,13,50,115,927,22,16,-1,6,5,914,42870,6020,54,6205,897,145,13,662,2,34240,57020,25470,64130,30290,60230,37900,47980,45060,2190,2650,4840,L501,105,Zurich,Hinwil,,
214,436,16,472,78400,20900,0,95100,700,3900,100,37000,6000,53000,80200,22500,127,1876900,1907400,1918100,1882600,1872300,501,487,90000,10000,0,198,631,29,807,77,420,352,362,137,695,139,262,246,551,164,17,22,53,94,859,25,15,3,10,13,895,37200,10310,31,6203,1536,248,15,780,28,23500,63820,14050,74490,19230,68650,33080,49110,45260,3420,3640,7060,L601,106,Zurich,Horgen,,
203,417,16,466,88000,11600,0,96900,700,1800,100,46000,6000,55000,77500,20400,117,1877100,1911500,1915800,1883300,1860000,416,368,79000,21000,0,357,475,114,651,127,384,391,313,281,530,200,189,385,428,149,21,17,45,100,905,20,17,8,3,11,907,37560,8340,38,4463,659,148,16,611,133,44350,43630,32530,51500,39440,46900,34310,45660,41590,2860,5080,7940,L701,107,Zurich,Meilen,,
225,453,13,481,92900,6900,0,98200,400,1400,0,36000,6000,49000,79200,16800,141,1875700,1905400,1921400,1901400,1860000,595,477,0,100000,0,440,456,198,699,214,481,376,377,348,548,263,235,474,406,93,16,11,33,170,929,21,17,-2,4,2,932,51680,4200,84,6090,490,81,83,590,2,51520,39100,38230,52910,45130,45740,40730,55620,48080,2950,2320,5270,L801,108,Zurich,Pfaeffikon,,
230,468,17,472,85700,13900,0,95000,500,4400,100,37000,4000,53000,80100,13300,138,1875000,1904500,1920700,1903500,1860000,519,423,87000,13000,0,385,506,186,688,212,431,391,358,314,571,227,272,409,457,109,13,11,39,159,879,22,16,3,6,9,914,42740,8360,52,5840,428,73,93,605,9,48570,43390,35710,55200,42210,49220,41810,55420,49430,1900,2960,4850,L901,109,Zurich,Uster,,
233,442,19,506,82400,16300,200,95900,700,3000,100,43000,5000,66000,77400,11200,119,1876200,1907900,1917000,1882300,1882500,427,330,81000,19000,0,181,633,226,526,346,260,362,298,195,601,127,66,431,332,190,22,24,70,23,1003,24,14,2,10,11,1001,36480,10960,12,5938,345,58,183,529,36,21980,63500,40090,39710,27910,55710,47040,23340,32750,4100,4320,8420,L1001,110,Zurich,Winterthur,,
